"Prey_OS_ID","pred.name","PreyWt","Prey_Count","prey.name","other.prey"
6967,"Greenland halibut",0.3,NA,"other","other"
9998,"Greenland halibut",NA,NA,"other","other"
6967,"Greenland halibut",0.286,NA,"other","other"
6967,"Greenland halibut",0.091,NA,"other","other"
6967,"Greenland halibut",0.079,NA,"other","other"
6967,"Greenland halibut",0.076,NA,"other","other"
8020,"Greenland halibut",3.196,NA,"other","other"
8020,"Greenland halibut",1.769,NA,"other","other"
4950,"Greenland halibut",0.455,NA,"other","other"
8530,"Greenland halibut",1.019,NA,"other","other"
8290,"Greenland halibut",0.661,NA,"other","other"
8020,"Greenland halibut",7.452,NA,"other","other"
8112,"Greenland halibut",6.115,1,"montagui","Shrimp"
8112,"Greenland halibut",3.235,1,"montagui","Shrimp"
8112,"Greenland halibut",2.69,1,"montagui","Shrimp"
999,"Greenland halibut",0.143,NA,"other","other"
999,"Greenland halibut",0,NA,"other","other"
999,"Greenland halibut",0,NA,"other","other"
8020,"Greenland halibut",1.476,NA,"other","other"
10763,"Greenland halibut",2.786,1,"other","other"
6967,"Greenland halibut",0.009,NA,"other","other"
8112,"Greenland halibut",2.972,1,"montagui","Shrimp"
8112,"Greenland halibut",2.185,1,"montagui","Shrimp"
6967,"Greenland halibut",0.025,1,"other","other"
6000,"Greenland halibut",0.632,NA,"other","other"
6000,"Skate",4.398,NA,"other","other"
8093,"Skate",1.131,NA,"other","other"
8178,"Skate",1.432,1,"other","other"
8020,"Greenland halibut",3.561,1,"other","other"
8020,"Greenland halibut",1.643,NA,"other","other"
8112,"Greenland halibut",0.934,1,"montagui","Shrimp"
8112,"Greenland halibut",2.404,2,"montagui","Shrimp"
717,"Greenland halibut",6.787,1,"other","other"
8020,"Greenland halibut",7.787,1,"other","other"
8112,"Greenland halibut",1.545,1,"montagui","Shrimp"
8020,"Greenland halibut",1.475,NA,"other","other"
9998,"Greenland halibut",NA,NA,"other","other"
9998,"Greenland halibut",NA,NA,"other","other"
9998,"Greenland halibut",NA,NA,"other","other"
9998,"Greenland halibut",NA,NA,"other","other"
999,"Greenland halibut",3.25,1,"other","other"
8138,"Greenland halibut",6.553,1,"other","other"
999,"Greenland halibut",0,NA,"other","other"
999,"Greenland halibut",0,NA,"other","other"
9998,"Greenland halibut",NA,NA,"other","other"
6930,"Greenland halibut",0.285,NA,"other","other"
4950,"Greenland halibut",0.628,NA,"other","other"
451,"Greenland halibut",13.925,1,"other","other"
7967,"Greenland halibut",0.122,1,"other","other"
9998,"Greenland halibut",NA,NA,"other","other"
6967,"Greenland halibut",0.038,1,"other","other"
8085,"Skate",2.623,1,"other","other"
8085,"Skate",6.59,2,"other","other"
8020,"Skate",12.265,NA,"other","other"
999,"Skate",3.084,NA,"other","other"
999,"Skate",0,NA,"other","other"
10560,"Skate",0.442,NA,"other","other"
6000,"Skate",11.02,NA,"other","other"
8020,"Skate",9.855,NA,"other","other"
8020,"Skate",7.128,NA,"other","other"
9998,"Skate",NA,NA,"other","other"
9998,"Skate",NA,NA,"other","other"
9998,"Greenland halibut",NA,NA,"other","other"
9998,"Greenland halibut",NA,NA,"other","other"
999,"Greenland halibut",0.184,NA,"other","other"
9980,"Greenland halibut",0.182,NA,"other","other"
999,"Greenland halibut",0,NA,"other","other"
999,"Greenland halibut",0,NA,"other","other"
9998,"Greenland halibut",NA,NA,"other","other"
272,"Greenland halibut",5.983,1,"other","other"
999,"Greenland halibut",11.124,NA,"other","other"
451,"Greenland halibut",0,NA,"other","other"
451,"Greenland halibut",0,NA,"other","other"
9980,"Greenland halibut",15.982,NA,"other","other"
10016,"Greenland halibut",1.276,1,"other","other"
8020,"Greenland halibut",0.558,NA,"other","other"
9980,"Greenland halibut",1.707,NA,"other","other"
9998,"Greenland halibut",NA,NA,"other","other"
9998,"Greenland halibut",NA,NA,"other","other"
9998,"Greenland halibut",NA,NA,"other","other"
8112,"Greenland halibut",6.959,2,"montagui","Shrimp"
8020,"Greenland halibut",0.937,NA,"other","other"
9998,"Greenland halibut",NA,NA,"other","other"
999,"Greenland halibut",4.668,NA,"other","other"
8110,"Greenland halibut",4.597,NA,"Pandalus","Shrimp"
8020,"Greenland halibut",2.712,NA,"other","other"
8112,"Greenland halibut",0.301,NA,"montagui","Shrimp"
436,"Greenland halibut",0,NA,"other","other"
9998,"Greenland halibut",NA,NA,"other","other"
8112,"Greenland halibut",28.428,1,"montagui","Shrimp"
8112,"Greenland halibut",19.87,1,"montagui","Shrimp"
9998,"Greenland halibut",NA,NA,"other","other"
999,"Greenland halibut",2.088,NA,"other","other"
436,"Greenland halibut",0,NA,"other","other"
9998,"Greenland halibut",NA,NA,"other","other"
6000,"Greenland halibut",0.418,NA,"other","other"
9980,"Greenland halibut",1.026,NA,"other","other"
9998,"Greenland halibut",NA,NA,"other","other"
9998,"Greenland halibut",NA,NA,"other","other"
9998,"Greenland halibut",NA,NA,"other","other"
4769,"Greenland halibut",17.137,1,"other","other"
8020,"Greenland halibut",5.606,NA,"other","other"
6000,"Greenland halibut",0.345,NA,"other","other"
9980,"Greenland halibut",3.557,NA,"other","other"
9998,"Greenland halibut",NA,NA,"other","other"
8020,"Greenland halibut",4.495,NA,"other","other"
9998,"Greenland halibut",NA,NA,"other","other"
9980,"Greenland halibut",1.607,NA,"other","other"
9998,"Greenland halibut",NA,NA,"other","other"
999,"Greenland halibut",0.183,NA,"other","other"
451,"Greenland halibut",0,NA,"other","other"
451,"Greenland halibut",0,NA,"other","other"
6000,"Greenland halibut",0.029,NA,"other","other"
9998,"Greenland halibut",NA,NA,"other","other"
6967,"Greenland halibut",0.09,NA,"other","other"
9980,"Greenland halibut",0.156,NA,"other","other"
9998,"Greenland halibut",NA,NA,"other","other"
6930,"Greenland halibut",0.215,NA,"other","other"
9980,"Greenland halibut",0.689,NA,"other","other"
6930,"Greenland halibut",0.847,1,"other","other"
6000,"Redfish",0.008,NA,"other","other"
7933,"Redfish",0.64,2,"other","other"
7935,"Redfish",2.645,4,"other","other"
9998,"Greenland halibut",NA,NA,"other","other"
6967,"Greenland halibut",0.277,NA,"other","other"
9998,"Greenland halibut",NA,NA,"other","other"
4950,"Greenland halibut",0.039,NA,"other","other"
9998,"Greenland halibut",NA,NA,"other","other"
7933,"Greenland halibut",0.25,1,"other","other"
999,"Greenland halibut",7.486,NA,"other","other"
999,"Greenland halibut",0,NA,"other","other"
9998,"Greenland halibut",NA,NA,"other","other"
8020,"Greenland halibut",0.818,NA,"other","other"
6967,"Greenland halibut",0.067,NA,"other","other"
853,"Greenland halibut",3.317,1,"other","other"
999,"Greenland halibut",0,NA,"other","other"
8020,"Greenland halibut",0.998,NA,"other","other"
9998,"Greenland halibut",NA,NA,"other","other"
8020,"Greenland halibut",1.833,NA,"other","other"
999,"Greenland halibut",2.381,NA,"other","other"
999,"Greenland halibut",0,NA,"other","other"
999,"Greenland halibut",0,NA,"other","other"
6000,"Greenland halibut",0.005,NA,"other","other"
999,"Greenland halibut",0.102,NA,"other","other"
999,"Greenland halibut",0,NA,"other","other"
9980,"Greenland halibut",3.609,NA,"other","other"
9998,"Greenland halibut",NA,NA,"other","other"
9980,"Greenland halibut",1.503,NA,"other","other"
9998,"Greenland halibut",NA,NA,"other","other"
7935,"Greenland halibut",0.733,1,"other","other"
9998,"Greenland halibut",NA,NA,"other","other"
6000,"Greenland halibut",0.01,NA,"other","other"
7935,"Greenland halibut",0.399,1,"other","other"
999,"Greenland halibut",3.849,NA,"other","other"
436,"Greenland halibut",0,NA,"other","other"
436,"Greenland halibut",0,NA,"other","other"
9980,"Greenland halibut",8.059,NA,"other","other"
7935,"Greenland halibut",0.765,1,"other","other"
999,"Greenland halibut",1.121,NA,"other","other"
6000,"Greenland halibut",0.136,NA,"other","other"
6930,"Greenland halibut",17.463,NA,"other","other"
7933,"Greenland halibut",0.19,NA,"other","other"
7935,"Greenland halibut",1.02,1,"other","other"
999,"Greenland halibut",10.641,NA,"other","other"
999,"Greenland halibut",0,NA,"other","other"
999,"Greenland halibut",0,NA,"other","other"
6080,"Greenland halibut",0.099,NA,"other","other"
8020,"Greenland halibut",8.03,1,"other","other"
9998,"Greenland halibut",NA,NA,"other","other"
8112,"Greenland halibut",7.054,1,"montagui","Shrimp"
892,"Greenland halibut",11.135,1,"other","other"
859,"Greenland halibut",1.699,1,"other","other"
859,"Greenland halibut",4.661,1,"other","other"
8112,"Greenland halibut",3.248,1,"montagui","Shrimp"
7935,"Greenland halibut",0.544,1,"other","other"
8112,"Greenland halibut",9.261,2,"montagui","Shrimp"
859,"Greenland halibut",15.738,1,"other","other"
8112,"Greenland halibut",10.382,2,"montagui","Shrimp"
9998,"Redfish",NA,NA,"other","other"
9998,"Redfish",NA,NA,"other","other"
9998,"Redfish",NA,NA,"other","other"
9998,"Redfish",NA,NA,"other","other"
8196,"Skate",59.555,2,"other","other"
6996,"Skate",0.319,1,"other","other"
999,"Skate",3.381,NA,"other","other"
999,"Skate",0,NA,"other","other"
9998,"Skate",NA,NA,"other","other"
6967,"Greenland halibut",0.075,2,"other","other"
6967,"Greenland halibut",0.195,NA,"other","other"
6967,"Greenland halibut",0.133,7,"other","other"
6967,"Greenland halibut",0.164,NA,"other","other"
6967,"Greenland halibut",0.057,NA,"other","other"
9998,"Greenland halibut",NA,NA,"other","other"
6967,"Greenland halibut",0.072,1,"other","other"
8111,"Greenland halibut",5.839,1,"borealis","Shrimp"
9998,"Redfish",NA,NA,"other","other"
9998,"Greenland halibut",NA,NA,"other","other"
9998,"Greenland halibut",NA,NA,"other","other"
8020,"Greenland halibut",0.242,NA,"other","other"
9980,"Greenland halibut",0.278,NA,"other","other"
9998,"Greenland halibut",NA,NA,"other","other"
290,"Greenland halibut",4.21,1,"other","other"
9998,"Greenland halibut",NA,NA,"other","other"
999,"Greenland halibut",8.666,NA,"other","other"
9998,"Greenland halibut",NA,NA,"other","other"
9998,"Greenland halibut",NA,NA,"other","other"
6000,"Skate",1.26,NA,"other","other"
8111,"Atlantic cod",21.621,2,"borealis","Shrimp"
8110,"Atlantic cod",12.619,4,"Pandalus","Shrimp"
9998,"Redfish",NA,NA,"other","other"
6967,"Redfish",0.03,NA,"other","other"
7933,"Redfish",0.589,NA,"other","other"
6000,"Redfish",0.495,NA,"other","other"
9998,"Redfish",NA,NA,"other","other"
9998,"Redfish",NA,NA,"other","other"
9998,"Greenland halibut",NA,NA,"other","other"
8111,"Greenland halibut",16.007,2,"borealis","Shrimp"
8111,"Greenland halibut",6.31,1,"borealis","Shrimp"
9998,"Greenland halibut",NA,NA,"other","other"
9998,"Greenland halibut",NA,NA,"other","other"
9998,"Greenland halibut",NA,NA,"other","other"
9998,"Greenland halibut",NA,NA,"other","other"
8111,"Greenland halibut",7.164,1,"borealis","Shrimp"
8111,"Greenland halibut",10.701,2,"borealis","Shrimp"
9980,"Greenland halibut",0.259,NA,"other","other"
9998,"Greenland halibut",NA,NA,"other","other"
9998,"Greenland halibut",NA,NA,"other","other"
9998,"Greenland halibut",NA,NA,"other","other"
9998,"Greenland halibut",NA,NA,"other","other"
10011,"Greenland halibut",3.118,1,"other","other"
8019,"Skate",14.18,NA,"other","other"
10310,"Skate",4.144,1,"other","other"
9998,"Skate",NA,NA,"other","other"
8111,"Skate",10.912,NA,"borealis","Shrimp"
9998,"Skate",NA,NA,"other","other"
6000,"Redfish",0.002,NA,"other","other"
9998,"Redfish",NA,NA,"other","other"
9998,"Redfish",NA,NA,"other","other"
9980,"Redfish",0.213,NA,"other","other"
9998,"Redfish",NA,NA,"other","other"
6000,"Redfish",0.469,NA,"other","other"
9980,"Redfish",1.462,NA,"other","other"
9980,"Redfish",0.348,NA,"other","other"
4545,"Redfish",0.006,NA,"other","other"
9980,"Redfish",1.013,NA,"other","other"
999,"Redfish",0,NA,"other","other"
9998,"Greenland halibut",NA,NA,"other","other"
8111,"Greenland halibut",17.122,1,"borealis","Shrimp"
9998,"Greenland halibut",NA,NA,"other","other"
8020,"Greenland halibut",1.603,1,"other","other"
9998,"Greenland halibut",NA,NA,"other","other"
9998,"Greenland halibut",NA,NA,"other","other"
9998,"Greenland halibut",NA,NA,"other","other"
9998,"Greenland halibut",NA,NA,"other","other"
9998,"Greenland halibut",NA,NA,"other","other"
9998,"Greenland halibut",NA,NA,"other","other"
9998,"Skate",NA,NA,"other","other"
9980,"Redfish",0.275,NA,"other","other"
9998,"Redfish",NA,NA,"other","other"
9980,"Redfish",1.715,NA,"other","other"
9998,"Greenland halibut",NA,NA,"other","other"
9998,"Greenland halibut",NA,NA,"other","other"
9980,"Greenland halibut",0.16,NA,"other","other"
