"Prey_OS_ID","Prey_Detail_Code","CommonName_DB","pred.name","PreyWt","Prey_Count","length.range","prey.name"
6967,81,"HYPERID AMPHIPOD","Greenland halibut",0.3,NA,"021-25","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"016-20","other"
6967,81,"HYPERID AMPHIPOD","Greenland halibut",0.286,NA,"016-20","other"
6967,81,"HYPERID AMPHIPOD","Greenland halibut",0.091,NA,"016-20","other"
6967,81,"HYPERID AMPHIPOD","Greenland halibut",0.079,NA,"016-20","other"
6967,81,"HYPERID AMPHIPOD","Greenland halibut",0.076,NA,"011-15","other"
8020,81,"SHRIMP/SHRIMP SAMPLE","Greenland halibut",3.196,NA,"036-40","other"
8020,81,"SHRIMP/SHRIMP SAMPLE","Greenland halibut",1.769,NA,"026-30","other"
4950,81,"POLYCHAETE","Greenland halibut",0.455,NA,"026-30","other"
8530,81,"BRITTLE STAR","Greenland halibut",1.019,NA,"031-35","other"
8290,81,"SEA CUCUMBER","Greenland halibut",0.661,NA,"031-35","other"
8020,81,"SHRIMP/SHRIMP SAMPLE","Greenland halibut",7.452,NA,"031-35","other"
8112,NA,"SHRIMP","Greenland halibut",6.115,1,"031-35","montagui"
8112,NA,"SHRIMP","Greenland halibut",3.235,1,"031-35","montagui"
8112,NA,"SHRIMP","Greenland halibut",2.69,1,"026-30","montagui"
999,81,"UNIDENTIFIED FISH","Greenland halibut",0.143,NA,"026-30","other"
999,88,"UNIDENTIFIED FISH","Greenland halibut",0,NA,"026-30","other"
999,88,"UNIDENTIFIED FISH","Greenland halibut",0,NA,"026-30","other"
8020,81,"SHRIMP/SHRIMP SAMPLE","Greenland halibut",1.476,NA,"026-30","other"
10763,NA,"Anemone","Greenland halibut",2.786,1,"026-30","other"
6967,81,"HYPERID AMPHIPOD","Greenland halibut",0.009,NA,"026-30","other"
8112,NA,"SHRIMP","Greenland halibut",2.972,1,"026-30","montagui"
8112,NA,"SHRIMP","Greenland halibut",2.185,1,"026-30","montagui"
6967,NA,"HYPERID AMPHIPOD","Greenland halibut",0.025,1,"021-25","other"
6000,81,"CRUSTACEAN","Greenland halibut",0.632,NA,"021-25","other"
6000,81,"CRUSTACEAN","Skate",4.398,NA,"041-45","other"
8093,81,"SHRIMP","Skate",1.131,NA,"041-45","other"
8178,NA,"HERMIT CRAB","Skate",1.432,1,"041-45","other"
8020,NA,"SHRIMP/SHRIMP SAMPLE","Greenland halibut",3.561,1,"031-35","other"
8020,81,"SHRIMP/SHRIMP SAMPLE","Greenland halibut",1.643,NA,"021-25","other"
8112,NA,"SHRIMP","Greenland halibut",0.934,1,"021-25","montagui"
8112,NA,"SHRIMP","Greenland halibut",2.404,2,"021-25","montagui"
717,88,"DAUBED SHANNY","Greenland halibut",6.787,1,"031-35","other"
8020,NA,"SHRIMP/SHRIMP SAMPLE","Greenland halibut",7.787,1,"031-35","other"
8112,NA,"SHRIMP","Greenland halibut",1.545,1,"016-20","montagui"
8020,81,"SHRIMP/SHRIMP SAMPLE","Greenland halibut",1.475,NA,"016-20","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"016-20","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"021-25","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"021-25","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"026-30","other"
999,88,"UNIDENTIFIED FISH","Greenland halibut",3.25,1,"026-30","other"
8138,NA,"SHRIMP","Greenland halibut",6.553,1,"031-35","other"
999,88,"UNIDENTIFIED FISH","Greenland halibut",0,NA,"031-35","other"
999,88,"UNIDENTIFIED FISH","Greenland halibut",0,NA,"031-35","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"021-25","other"
6930,81,"AMPHIPOD","Greenland halibut",0.285,NA,"011-15","other"
4950,81,"POLYCHAETE","Greenland halibut",0.628,NA,"011-15","other"
451,88,"ARCTIC COD","Greenland halibut",13.925,1,"036-40","other"
7967,NA,"MYSID","Greenland halibut",0.122,1,"011-15","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"011-15","other"
6967,NA,"HYPERID AMPHIPOD","Greenland halibut",0.038,1,"011-15","other"
8085,NA,"SHRIMP","Skate",2.623,1,"041-45","other"
8085,NA,"SHRIMP","Skate",6.59,2,"041-45","other"
8020,81,"SHRIMP/SHRIMP SAMPLE","Skate",12.265,NA,"041-45","other"
999,81,"UNIDENTIFIED FISH","Skate",3.084,NA,"041-45","other"
999,88,"UNIDENTIFIED FISH","Skate",0,NA,"041-45","other"
10560,81,"MYSID","Skate",0.442,NA,"041-45","other"
6000,81,"CRUSTACEAN","Skate",11.02,NA,"041-45","other"
8020,81,"SHRIMP/SHRIMP SAMPLE","Skate",9.855,NA,"026-30","other"
8020,81,"SHRIMP/SHRIMP SAMPLE","Skate",7.128,NA,"036-40","other"
9998,NA,"EMPTY","Skate",NA,NA,"041-45","other"
9998,NA,"EMPTY","Skate",NA,NA,"051-55","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"011-15","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"011-15","other"
999,81,"UNIDENTIFIED FISH","Greenland halibut",0.184,NA,"071-75","other"
9980,NA,"UNIDENTIFIED MATERIAL","Greenland halibut",0.182,NA,"071-75","Unidentified material"
999,88,"UNIDENTIFIED FISH","Greenland halibut",0,NA,"071-75","other"
999,88,"UNIDENTIFIED FISH","Greenland halibut",0,NA,"071-75","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"071-75","other"
272,88,"LANTERNFISHES","Greenland halibut",5.983,1,"066-70","other"
999,81,"UNIDENTIFIED FISH","Greenland halibut",11.124,NA,"066-70","other"
451,88,"ARCTIC COD","Greenland halibut",0,NA,"066-70","other"
451,88,"ARCTIC COD","Greenland halibut",0,NA,"066-70","other"
9980,NA,"UNIDENTIFIED MATERIAL","Greenland halibut",15.982,NA,"066-70","Unidentified material"
10016,NA,"GAMMARID AMPHIPOD","Greenland halibut",1.276,1,"066-70","other"
8020,81,"SHRIMP/SHRIMP SAMPLE","Greenland halibut",0.558,NA,"066-70","other"
9980,NA,"UNIDENTIFIED MATERIAL","Greenland halibut",1.707,NA,"066-70","Unidentified material"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"076-80","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"066-70","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"061-65","other"
8112,NA,"SHRIMP","Greenland halibut",6.959,2,"066-70","montagui"
