"length.range","Full_Atlantic.cod","Empty_Atlantic.cod","Total_Atlantic.cod","Full_Greenland.halibut","Empty_Greenland.halibut","Total_Greenland.halibut","Full_Redfish","Empty_Redfish","Total_Redfish","Full_Skate","Empty_Skate","Total_Skate"
"6-10","-","-","-","8","-","8","1","1","2","-","1","1"
"11-15","-","-","-","19","11","30","5","-","5","14","1","15"
"16-20","-","-","-","22","7","29","9","4","13","29","1","30"
"21-25","-","-","-","20","13","33","12","11","23","31","1","32"
"26-30","-","-","-","27","14","41","6","9","15","17","2","19"
"31-35","2","-","2","24","16","40","6","1","7","20","1","21"
"36-40","-","-","-","17","17","34","-","-","-","27","9","36"
"41-45","-","-","-","17","14","31","-","-","-","33","7","40"
"46-50","1","-","1","13","11","24","-","-","-","33","5","38"
"51-55","-","-","-","11","9","20","-","-","-","4","4","8"
"56-60","-","-","-","9","6","15","-","-","-","1","-","1"
"61-65","-","-","-","7","6","13","-","-","-","-","-","-"
"66-70","-","-","-","5","2","7","-","-","-","-","-","-"
"71-75","-","-","-","2","1","3","-","-","-","-","-","-"
"76-80","-","-","-","2","2","4","-","-","-","-","-","-"
"81-85","-","-","-","-","1","1","-","-","-","-","-","-"
"141-145","-","-","-","-","-","-","-","-","-","1","-","1"
"171-175","-","-","-","-","-","-","-","-","-","1","-","1"
