"ContentKey","FishKey","Prey_OS_ID","ScientificName_W","CommonName_DB","Prey_Detail_Code","PreyWt","Prey_Count","OS_ID","Length","Year","Trawl_ID","Study.Area","Start.Depth","End.Depth","Start.Lat.Degree","Start.Lat.Minutes","Start.Long.Degree","Start.Long.Minutes","Phylum","Order","region","pred.name","depth","length.range","sampled.stomach"
"62114003_892_3_1_-14_1733","62114003_892_3_1_-14",6967,"Themisto","HYPERID AMPHIPOD",81,0.3,NA,892,24.5,2019,62114003,"2G",269,271,57,45.1041,60,24.1561,"Arthropoda","Amphipoda","SFA4","Greenland halibut","200-300 m","21-25",1
"62114003_892_3_1_-15_1732","62114003_892_3_1_-15",9998,"Empty","EMPTY",NA,NA,NA,892,20,2019,62114003,"2G",269,271,57,45.1041,60,24.1561,NA,NA,"SFA4","Greenland halibut","200-300 m","16-20",1
"62114003_892_3_1_-16_1728","62114003_892_3_1_-16",6967,"Themisto","HYPERID AMPHIPOD",81,0.286,NA,892,20,2019,62114003,"2G",269,271,57,45.1041,60,24.1561,"Arthropoda","Amphipoda","SFA4","Greenland halibut","200-300 m","16-20",1
"62114003_892_3_1_-17_1729","62114003_892_3_1_-17",6967,"Themisto","HYPERID AMPHIPOD",81,0.091,NA,892,20.5,2019,62114003,"2G",269,271,57,45.1041,60,24.1561,"Arthropoda","Amphipoda","SFA4","Greenland halibut","200-300 m","16-20",1
"62114003_892_3_1_-18_1731","62114003_892_3_1_-18",6967,"Themisto","HYPERID AMPHIPOD",81,0.079,NA,892,17,2019,62114003,"2G",269,271,57,45.1041,60,24.1561,"Arthropoda","Amphipoda","SFA4","Greenland halibut","200-300 m","16-20",1
"62114003_892_3_1_-19_1730","62114003_892_3_1_-19",6967,"Themisto","HYPERID AMPHIPOD",81,0.076,NA,892,14,2019,62114003,"2G",269,271,57,45.1041,60,24.1561,"Arthropoda","Amphipoda","SFA4","Greenland halibut","200-300 m","11-15",1
"62114003_892_3_1_-3_1740","62114003_892_3_1_-3",8020,"","SHRIMP/SHRIMP SAMPLE",81,3.196,NA,892,37.5,2019,62114003,"2G",269,271,57,45.1041,60,24.1561,"Arthropoda","Decapoda","SFA4","Greenland halibut","200-300 m","36-40",1
"62114003_892_3_1_1003_1741","62114003_892_3_1_1003",8020,"","SHRIMP/SHRIMP SAMPLE",81,1.769,NA,892,27,2019,62114003,"2G",269,271,57,45.1041,60,24.1561,"Arthropoda","Decapoda","SFA4","Greenland halibut","200-300 m","26-30",1
"62114003_892_3_1_1004_1743","62114003_892_3_1_1004",8530,"Ophiuroidea","BRITTLE STAR",81,1.019,NA,892,33,2019,62114003,"2G",269,271,57,45.1041,60,24.1561,"Echinodermata",NA,"SFA4","Greenland halibut","200-300 m","31-35",1
"62114003_892_3_1_-6_1752","62114003_892_3_1_-6",8020,"","SHRIMP/SHRIMP SAMPLE",81,7.452,NA,892,33.5,2019,62114003,"2G",269,271,57,45.1041,60,24.1561,"Arthropoda","Decapoda","SFA4","Greenland halibut","200-300 m","31-35",1
"62114003_892_3_1_-7_1750","62114003_892_3_1_-7",8112,"Pandalus montagui","SHRIMP",NA,6.115,1,892,34.5,2019,62114003,"2G",269,271,57,45.1041,60,24.1561,"Arthropoda","Decapoda","SFA4","Greenland halibut","200-300 m","31-35",1
"62114003_892_3_1_-8_1751","62114003_892_3_1_-8",8112,"Pandalus montagui","SHRIMP",NA,3.235,1,892,33,2019,62114003,"2G",269,271,57,45.1041,60,24.1561,"Arthropoda","Decapoda","SFA4","Greenland halibut","200-300 m","31-35",1
"62114003_892_3_1_-9_1739","62114003_892_3_1_-9",8112,"Pandalus montagui","SHRIMP",NA,2.69,1,892,27,2019,62114003,"2G",269,271,57,45.1041,60,24.1561,"Arthropoda","Decapoda","SFA4","Greenland halibut","200-300 m","26-30",1
"62114003_892_3_1_-10_1745","62114003_892_3_1_-10",999,"Unidentifiable Pisces","UNIDENTIFIED FISH",81,0.143,NA,892,29.3,2019,62114003,"2G",269,271,57,45.1041,60,24.1561,"Pisces",NA,"SFA4","Greenland halibut","200-300 m","26-30",1
"62114003_892_3_1_-11_1736","62114003_892_3_1_-11",6967,"Themisto","HYPERID AMPHIPOD",81,0.009,NA,892,26.5,2019,62114003,"2G",269,271,57,45.1041,60,24.1561,"Arthropoda","Amphipoda","SFA4","Greenland halibut","200-300 m","26-30",1
"62114003_892_3_1_-12_1735","62114003_892_3_1_-12",6967,"Themisto","HYPERID AMPHIPOD",NA,0.025,1,892,21.2,2019,62114003,"2G",269,271,57,45.1041,60,24.1561,"Arthropoda","Amphipoda","SFA4","Greenland halibut","200-300 m","21-25",1
"62114003_892_3_1_-13_1734","62114003_892_3_1_-13",6000,"Crustacea","CRUSTACEAN",81,0.632,NA,892,25,2019,62114003,"2G",269,271,57,45.1041,60,24.1561,"Arthropoda",NA,"SFA4","Greenland halibut","200-300 m","21-25",1
"62114004_95_3_1_-36_1553","62114004_95_3_1_-36",6000,"Crustacea","CRUSTACEAN",81,4.398,NA,95,45.5,2019,62114004,"2G",290,289,57,48.3727,60,23.5588,"Arthropoda",NA,"SFA4","Skate","200-300 m","41-45",1
"62114013_892_3_1_-41_1691","62114013_892_3_1_-41",8020,"","SHRIMP/SHRIMP SAMPLE",NA,3.561,1,892,35,2019,62114013,"2G",182,184,58,33.3829,62,5.1611,"Arthropoda","Decapoda","SFA4","Greenland halibut","100-200 m","31-35",1
"62114013_892_3_1_1005_1679","62114013_892_3_1_1005",8020,"","SHRIMP/SHRIMP SAMPLE",81,1.643,NA,892,25.3,2019,62114013,"2G",182,184,58,33.3829,62,5.1611,"Arthropoda","Decapoda","SFA4","Greenland halibut","100-200 m","21-25",1
"62114013_892_3_1_-42_1692","62114013_892_3_1_-42",717,"Leptoclinus maculatus","DAUBED SHANNY",88,6.787,1,892,34,2019,62114013,"2G",182,184,58,33.3829,62,5.1611,"Chordata","Perciformes","SFA4","Greenland halibut","100-200 m","31-35",1
"62114014_892_3_1_-63_380","62114014_892_3_1_-63",8112,"Pandalus montagui","SHRIMP",NA,1.545,1,892,19,2019,62114014,"2G",161,163,58,32.515,61,56.0237,"Arthropoda","Decapoda","SFA4","Greenland halibut","100-200 m","16-20",1
"62114014_892_3_1_-64_382","62114014_892_3_1_-64",9998,"Empty","EMPTY",NA,NA,NA,892,18,2019,62114014,"2G",161,163,58,32.515,61,56.0237,NA,NA,"SFA4","Greenland halibut","100-200 m","16-20",1
"62114014_892_3_1_-65_383","62114014_892_3_1_-65",9998,"Empty","EMPTY",NA,NA,NA,892,22,2019,62114014,"2G",161,163,58,32.515,61,56.0237,NA,NA,"SFA4","Greenland halibut","100-200 m","21-25",1
