"ContentKey","FishKey","Prey_OS_ID","ScientificName_W","CommonName_DB","Prey_Detail_Code","PreyWt","Prey_Count","OS_ID","Length","Year","Trawl_ID","Study.Area","Start.Depth","End.Depth","Start.Lat.Degree","Start.Lat.Minutes","Start.Long.Degree","Start.Long.Minutes","Phylum","Order","region","pred.name","depth","length.range"
"62114003_892_3_1_-14_1733","62114003_892_3_1_-14",6967,"Themisto","HYPERID AMPHIPOD",81,0.3,NA,892,24.5,2019,62114003,"2G",269,271,57,45.1041,60,24.1561,"Arthropoda","Amphipoda","SFA4","Greenland halibut","200-300 m","21-25"
"62114003_892_3_1_-15_1732","62114003_892_3_1_-15",9998,"Empty","EMPTY",NA,NA,NA,892,20,2019,62114003,"2G",269,271,57,45.1041,60,24.1561,NA,NA,"SFA4","Greenland halibut","200-300 m","16-20"
"62114003_892_3_1_-16_1728","62114003_892_3_1_-16",6967,"Themisto","HYPERID AMPHIPOD",81,0.286,NA,892,20,2019,62114003,"2G",269,271,57,45.1041,60,24.1561,"Arthropoda","Amphipoda","SFA4","Greenland halibut","200-300 m","16-20"
"62114003_892_3_1_-17_1729","62114003_892_3_1_-17",6967,"Themisto","HYPERID AMPHIPOD",81,0.091,NA,892,20.5,2019,62114003,"2G",269,271,57,45.1041,60,24.1561,"Arthropoda","Amphipoda","SFA4","Greenland halibut","200-300 m","16-20"
"62114003_892_3_1_-18_1731","62114003_892_3_1_-18",6967,"Themisto","HYPERID AMPHIPOD",81,0.079,NA,892,17,2019,62114003,"2G",269,271,57,45.1041,60,24.1561,"Arthropoda","Amphipoda","SFA4","Greenland halibut","200-300 m","16-20"
"62114003_892_3_1_-19_1730","62114003_892_3_1_-19",6967,"Themisto","HYPERID AMPHIPOD",81,0.076,NA,892,14,2019,62114003,"2G",269,271,57,45.1041,60,24.1561,"Arthropoda","Amphipoda","SFA4","Greenland halibut","200-300 m","11-15"
"62114003_892_3_1_-3_1740","62114003_892_3_1_-3",8020,"","SHRIMP/SHRIMP SAMPLE",81,3.196,NA,892,37.5,2019,62114003,"2G",269,271,57,45.1041,60,24.1561,"Arthropoda","Decapoda","SFA4","Greenland halibut","200-300 m","36-40"
"62114003_892_3_1_1003_1741","62114003_892_3_1_1003",8020,"","SHRIMP/SHRIMP SAMPLE",81,1.769,NA,892,27,2019,62114003,"2G",269,271,57,45.1041,60,24.1561,"Arthropoda","Decapoda","SFA4","Greenland halibut","200-300 m","26-30"
"62114003_892_3_1_1003_1742","62114003_892_3_1_1003",4950,"Polychaeta","POLYCHAETE",81,0.455,NA,892,27,2019,62114003,"2G",269,271,57,45.1041,60,24.1561,"Annelida",NA,"SFA4","Greenland halibut","200-300 m","26-30"
"62114003_892_3_1_1004_1743","62114003_892_3_1_1004",8530,"Ophiuroidea","BRITTLE STAR",81,1.019,NA,892,33,2019,62114003,"2G",269,271,57,45.1041,60,24.1561,"Echinodermata",NA,"SFA4","Greenland halibut","200-300 m","31-35"
"62114003_892_3_1_1004_1744","62114003_892_3_1_1004",8290,"Holothuroidea","SEA CUCUMBER",81,0.661,NA,892,33,2019,62114003,"2G",269,271,57,45.1041,60,24.1561,"Echinodermata",NA,"SFA4","Greenland halibut","200-300 m","31-35"
"62114003_892_3_1_-6_1752","62114003_892_3_1_-6",8020,"","SHRIMP/SHRIMP SAMPLE",81,7.452,NA,892,33.5,2019,62114003,"2G",269,271,57,45.1041,60,24.1561,"Arthropoda","Decapoda","SFA4","Greenland halibut","200-300 m","31-35"
"62114003_892_3_1_-7_1750","62114003_892_3_1_-7",8112,"Pandalus montagui","SHRIMP",NA,6.115,1,892,34.5,2019,62114003,"2G",269,271,57,45.1041,60,24.1561,"Arthropoda","Decapoda","SFA4","Greenland halibut","200-300 m","31-35"
"62114003_892_3_1_-8_1751","62114003_892_3_1_-8",8112,"Pandalus montagui","SHRIMP",NA,3.235,1,892,33,2019,62114003,"2G",269,271,57,45.1041,60,24.1561,"Arthropoda","Decapoda","SFA4","Greenland halibut","200-300 m","31-35"
"62114003_892_3_1_-9_1739","62114003_892_3_1_-9",8112,"Pandalus montagui","SHRIMP",NA,2.69,1,892,27,2019,62114003,"2G",269,271,57,45.1041,60,24.1561,"Arthropoda","Decapoda","SFA4","Greenland halibut","200-300 m","26-30"
"62114003_892_3_1_-10_1745","62114003_892_3_1_-10",999,"Unidentifiable Pisces","UNIDENTIFIED FISH",81,0.143,NA,892,29.3,2019,62114003,"2G",269,271,57,45.1041,60,24.1561,"Pisces",NA,"SFA4","Greenland halibut","200-300 m","26-30"
"62114003_892_3_1_-10_1746","62114003_892_3_1_-10",999,"Unidentifiable Pisces","UNIDENTIFIED FISH",88,0,NA,892,29.3,2019,62114003,"2G",269,271,57,45.1041,60,24.1561,"Pisces",NA,"SFA4","Greenland halibut","200-300 m","26-30"
"62114003_892_3_1_-10_1747","62114003_892_3_1_-10",999,"Unidentifiable Pisces","UNIDENTIFIED FISH",88,0,NA,892,29.3,2019,62114003,"2G",269,271,57,45.1041,60,24.1561,"Pisces",NA,"SFA4","Greenland halibut","200-300 m","26-30"
