ContentKey,FishKey,Prey_OS_ID,Scientific Name,CommonName,Aphia_ID,Prey_Detail_Code,PreyWt,Prey_Count,OS_ID,Length,Year,Trawl_ID,Study Area,Start Depth,End Depth,Start Lat Degree,Start Lat Minutes,Start Long Degree,Start Long Minutes
62114003_892_3_1_-14_1733,62114003_892_3_1_-14,6967,THEMISTO SP,HYPERID AMPHIPOD,101800,81,0.3,,892,24.5,2019,62114003,2G,269,271,57,45.1041,60,24.1561
62114003_892_3_1_-15_1732,62114003_892_3_1_-15,9998,EMPTY,EMPTY,,,,,892,20,2019,62114003,2G,269,271,57,45.1041,60,24.1561
62114003_892_3_1_-16_1728,62114003_892_3_1_-16,6967,THEMISTO SP,HYPERID AMPHIPOD,101800,81,0.286,,892,20,2019,62114003,2G,269,271,57,45.1041,60,24.1561
62114003_892_3_1_-17_1729,62114003_892_3_1_-17,6967,THEMISTO SP,HYPERID AMPHIPOD,101800,81,0.091,,892,20.5,2019,62114003,2G,269,271,57,45.1041,60,24.1561
62114003_892_3_1_-18_1731,62114003_892_3_1_-18,6967,THEMISTO SP,HYPERID AMPHIPOD,101800,81,0.079,,892,17,2019,62114003,2G,269,271,57,45.1041,60,24.1561
62114003_892_3_1_-19_1730,62114003_892_3_1_-19,6967,THEMISTO SP,HYPERID AMPHIPOD,101800,81,0.076,,892,14,2019,62114003,2G,269,271,57,45.1041,60,24.1561
62114003_892_3_1_-3_1740,62114003_892_3_1_-3,8020,NATANTIA = DENDROBRANCHIATA,SHRIMP/SHRIMP SAMPLE,106669,81,3.196,,892,37.5,2019,62114003,2G,269,271,57,45.1041,60,24.1561
62114003_892_3_1_1003_1741,62114003_892_3_1_1003,8020,NATANTIA = DENDROBRANCHIATA,SHRIMP/SHRIMP SAMPLE,106669,81,1.769,,892,27,2019,62114003,2G,269,271,57,45.1041,60,24.1561
62114003_892_3_1_1003_1742,62114003_892_3_1_1003,4950,POLYCHAETA,POLYCHAETE,883,81,0.455,,892,27,2019,62114003,2G,269,271,57,45.1041,60,24.1561
62114003_892_3_1_1004_1743,62114003_892_3_1_1004,8530,OPHIUROIDEA,BRITTLE STAR,123084,81,1.019,,892,33,2019,62114003,2G,269,271,57,45.1041,60,24.1561
62114003_892_3_1_1004_1744,62114003_892_3_1_1004,8290,HOLOTHUROIDEA,SEA CUCUMBER,123083,81,0.661,,892,33,2019,62114003,2G,269,271,57,45.1041,60,24.1561
